,,,,,,,,,,,,,,,,RE Task & Application Domain,,,,,,,,GenAI Model & Configuration,,,LLM Application Strategy & Prompt Engineering,,,,,Outputs & Resources,,,,Evaluation,,,Study Quality,,,,,Challenges & Future Directions,,,,,,,,,,,
10,Emergence of A Novel Domain Expert: A Generative AI-based Framework for Software Function Point Analysis,"Zhao, Zheng and Jiang, Hongxiang and Zhao, Ran and He, Bing",2024,ACM DL,10.1145/3691620.3695293,https://doi.org/10.1145/3691620.3695293,,emergence of a novel domain expert: a generative ai-based framework for software function point analysis,New,FALSE,FALSE,Analyze now,Haowei,,Yes,F,,,1,,,"Multiple fields: government, financial management, social media, etc",Function Point (FP) analysis task,Qwen-72B,Yes- Densely Supervised Fine-Tuning,No,Standalone,"Densely Supervised Fine-Tuning (DSFT), ConceptAct Prompting",Few-shot,Instruction + Description + Example,Yes,FPA-EX,No,Self-built dataset,No,"Recall, False Alarm Rate (FAR), F1 Score",Controlled experiment + Case study,"Functional Suitability, Efficiency",1,1,1,1,4,0,0,1,0,0,0,0,0,0,0,Prototype / Pilot Project,"SRS data cannot be open-sourced and its reproduction capability is limited
Other RE tasks besides FPA (such as requirement conflict identification and tracking) are not involved"
11,ReFAIR: Toward a Context-Aware Recommender for Fairness Requirements Engineering,"Ferrara, Carmine and Casillo, Francesco and Gravino, Carmine and De Lucia, Andrea and Palomba, Fabio",2024,ACM DL,10.1145/3597503.3639185,https://doi.org/10.1145/3597503.3639185,,refair: toward a context-aware recommender for fairness requirements engineering,New,FALSE,FALSE,Analyze now,Haowei,,Yes,F,1,1,,,,"Including finance, education, medical care, politics, software, etc.","User behavior clustering, anomaly detection, term extraction, etc.",GPT-3.5,No,No,Standalone,No,No,instruction-based prompting,Yes,ReFAIR,Yes,Synthetic User Stories Dataset,Yes,"F1-score, Accuracy, Hamming Los, MoJo Distance","Ten-fold cross validation, Small-scale real-world user experiments","Functional Suitability, Performance Efficiency, Usability, Maintainability/Portability",1,1,1,1,4,1,1,0,1,0,0,0,1,1,0,Prototype ,"Sensitive to user story format, need support from actual development experience"
12,Automated Derivation of UML Sequence Diagrams from User Stories: Unleashing the Power of Generative AI vs. a Rule-Based Approach,"Jahan, Munima and Hassan, Mohammad Mahdi and Golpayegani, Reza and Ranjbaran, Golshid and Roy, Chanchal and Roy, Banani and Schneider, Kevin",2024,ACM DL,10.1145/3640310.3674081,https://doi.org/10.1145/3640310.3674081,,automated derivation of uml sequence diagrams from user stories: unleashing the power of generative ai vs. a rule-based approach,New,FALSE,FALSE,Analyze now,Haowei,,Yes,F,,,1,1,,Software Development Tools,Automatic structural analysis of user stories and  generate sequence diagrams (behavior modeling),ChatGPT-3.5,No,No,Standalone,No,Zero-shot,Instruction,Yes,No,Yes,Public dataset,Yes,Manual evaluation,Expert review + literature comparison + ChatGPT comparison,"Functional adaptability, Usability, Performance Efficiency",1,1,1,1,4,0,0,0,1,0,0,1,1,1,0,Concept/Prototype,ChatGPT over-models simple sentences; Performance of Rule-based methods declines under complex syntax
13,Exploring the Use of Large Language Models in Requirements Engineering Education: An Experience Report with ChatGPT 3.5,"Sampaio, Savio Sousa and Lima, M\'{a}rcia Sampaio and de Souza, Eriky Rodrigues and Meireles, Maria Alcimar and Pessoa, Marcela Savia and Conte, Tayana Uchoa",2024,ACM DL,10.1145/3701625.3701687,https://doi.org/10.1145/3701625.3701687,,exploring the use of large language models in requirements engineering education: an experience report with chatgpt 3.5,New,FALSE,FALSE,Analyze now,Haowei,,Yes,F,,1,1,1,,Generic RE tasks,"Identify functional vs non-functional requirements, extract intent and theme from user stories, detect contradictions between requirement sentences, classify NFRs (usability, security, etc.), extract actor-action-object from NL",GPT-3.5-turbo,No,temperature=0,Standalone,Using prompt-driven reasoning,"Zero-shot, Few-shot",Instruction+Question,Yes,No,No,"Puhua, Goal-oriented NFR, RE-Action, RE-MUC, RE-Codred, etc", Partial,"Accuracy, Precision/Recall/F1-score, Cohen’s Kappa, Human Evaluation",Quantitative Controlled Experiments,"Functional Suitability, Reliability, Usability",1,1,1,1,4,1,0,0,1,0,0,1,0,1,0,Experimental verification,"Task Settings have been simplified and cannot fully represent the actual RE scenarios.
Human annotators have difficulty making consistent judgments about contradiction labels"
14,Getting Inspiration for Feature Elicitation: App Store- vs. LLM-based Approach,"Wei, Jialiang and Courbis, Anne-Lise and Lambolais, Thomas and Xu, Binbin and Bernard, Pierre Louis and Dray, Gerard and Maalej, Walid",2024,ACM DL,10.1145/3691620.3695591,https://doi.org/10.1145/3691620.3695591,,getting inspiration for feature elicitation: app store- vs. llm-based approach,New,FALSE,FALSE,Analyze now,Haowei,,Yes,F,,,1,,,Generic RE tasks,User Story Completion,"GPT-3.5-turbo, GPT-4, Claude-2.1, PaLM-2, Command-R+",No,temperature = 0.5,Standalone(Use the LLM API to complete the full text without embedding specific RE tool processes),"Output Filtering, Ensemble Voting ",Few-shot ,Instruction + Structured Template Prompt,Yes,No,Yes, RE-UCDataset,Yes,"Automatic: BLEU, ROUGE, METEOR, BERTScore
Human Evaluation: Fluency, Coherence, Informativeness, Relevance",Controlled experiment + Human annotation + Inter-annotator agreement,"Functional Suitability, Usability",1,1,1,0.5,3.5,1,0,0,0,1,0,1,1,1,0,Concept/Prototype,"Due to the limited English corpus and data volume, as well as the annotations by a few experts"
15,Using LLMs for Use Case Modelling of IoT Systems: An Experience Report,"Tabassum, Mirza Rehenuma and Ritchie, Matthew J. and Mustafiz, Sadaf and Kienzle, J\""{o}rg",2024,ACM DL,10.1145/3652620.3687810,https://doi.org/10.1145/3652620.3687810,,using llms for use case modelling of iot systems: an experience report,New,FALSE,FALSE,Analyze now,Haowei,,Yes,F,1,,1,,,Internet of Things (IoT),"Use Case Modelling, Exception + Handler Use Case Generation","GPT-4o, Gemini 1.5 Flash",No,"GPT-4: temperature = 0.5

Gemini: temperature = 0.0, top_p = 0.95",Standalone generation: LLM directly generates use case models based on the input unstructured descriptions,Only use multi-round prompt enhancement and structure template guidance,Few-shot ,Instruction + Descriptive,Yes,No,Yes,Self-constructed dataset,Yes,"overlap, missing, new, excess",Benchmark-based Human Evaluation,"Functional Suitabilit, Usability, Reliability",1,1,1,1,4,0,0,0,0,0,0,1,1,1,0,Concept/Prototype,Limitations such as prompt sensitivity and LLM’s lack of IoT domain knowledge
16,Self-Elicitation of Requirements with Automated GUI Prototyping,"Kolthoff, Kristian and Bartelt, Christian and Ponzetto, Simone Paolo and Schneider, Kurt",2024,ACM DL,10.1145/3691620.3695350,https://doi.org/10.1145/3691620.3695350,,self-elicitation of requirements with automated gui prototyping,New,FALSE,FALSE,Analyze now,Haowei,,Yes,F,1,,,,,User-facing systems,"GUI prototype generation and GUI feature recommendation
Matching self-demand expression based on natural language and visual GUI",GPT-4,No,No,Hybrid (LLM is one of the components responsible for GUI feature recommendation and is integrated into the complete automated GUI prototype system SERGUI),Custom templates + multiple contexts,Few-shot ,Instruction + Description,Yes,SERGUI,Yes,"Rico GUI Dataset, Screen2Words",Yes,"Feature Recommendation, Aspect-GUI matching, GUI Reranking",Small-scale pre-experiment,"Functional Suitability, Usability, Performance Efficiency",1,1,1,1,4,0,0,0,1,0,0,1,1,1,0,Proof-of-Concept,The adaptability of the system needs to be enhanced
17,LLM4Fin: Fully Automating LLM-Powered Test Case Generation for FinTech Software Acceptance Testing,"Xue, Zhiyi and Li, Liangguo and Tian, Senyue and Chen, Xiaohong and Li, Pingping and Chen, Liangyu and Jiang, Tingting and Zhang, Min",2024,ACM DL,10.1145/3650212.3680388,https://doi.org/10.1145/3650212.3680388,,llm4fin: fully automating llm-powered test case generation for fintech software acceptance testing,New,FALSE,FALSE,Analyze now,Haowei,,Yes,F,,,1,1,,FinTech,"Extract structured rules from natural language business rules
Automatically generate test scenarios and data","Mengzi-BERT-base-fin, ChatGPT GPT-4, ChatGLM, LLaMA2-7B","Yes- Perform two fine-tuning operations on Mengzi-BERT (Task 1: Rule filtering, Task 2: Element extraction)","Fine-tuning：
Learning rate: 1^e -5decay to 0 after 5-epoch warmup
Epochs: 50 (rule filtering), 20 (element extraction)","Hybrid: LLMs combined with traditional algorithms (such as SMT solvers, rule combinators)","Symbolic AI Combination
Domain-Knowledge Encoding",Few-shot & Carefully Designed Prompt,Instruction + Description + Iterative,Yes,LLM4Fin,Yes,Proprietary datasets,Yes,"Business Scenario Coverage (BSC)，
Code Coverage (SBC, MC/DC)，
Time Cost",Controlled Experiment,"Functional Suitability, Performance Efficiency, Usability",1,1,1,1,4,0,1,1,1,0,1,1,1,1,0,In Production,"Fine-tuning and terminology database construction require high labor costs
LLM relies on the representation and input of domain knowledge, and has a high learning curve
LLM has weak recognition of abstract terms, and prompts are burdensome"
18,A Comparative Analysis of ChatGPT-Generated and Human-Written Use Case Descriptions,"Aslan O\u{g}uz, Evin and Kuester, Jochen Malte",2024,ACM DL,10.1145/3652620.3687800,https://doi.org/10.1145/3652620.3687800,,a comparative analysis of chatgpt-generated and human-written use case descriptions,New,FALSE,FALSE,Analyze now,Haowei,,Yes,F,,,1,,,Teaching,"Use case behavior modeling, user interaction modeling","ChatGPT, GPT-4",No,No,"Standalone, interactively generate use case descriptions using the ChatGPT Web API","Prompt strategy optimization, multiple rounds of prompt questions",Zero-shot + Few-shot,Instruction + Iterative,Yes,No,No,Stock Market case,No,Likert Scale Rating,User research/surveys,"Functional Suitability, Usability, Reliability",1,1,1,1,4,0,0,0,1,0,0,1,0,1,0,Teaching experiments,Too much sensitivity and reliance on prompts
19,A Comparative Study of Large Language Models for Goal Model Extraction,"Siddeshwar, Vaishali and Alwidian, Sanaa and Makrehchi, Masoud",2024,ACM DL,10.1145/3652620.3686246,https://doi.org/10.1145/3652620.3686246,,a comparative study of large language models for goal model extraction,New,FALSE,FALSE,Analyze now,Haowei,,Yes,F,1,1,1,,,"Multi-field coverage (Traffic Simulator, Hospital Wait Time Estimation)",Automatically extract intent elements from user stories,"GPT-4 ,Llama-13b-chat , Cohere 4.37 ",No,"GPT-4 , Llama =0.6-0.8",Standalone application: Use API to call LLM to independently generate XML goal model,Multi-step reasoning,Few-shot,Instruction + Iterative + Descriptive,Yes,Exporting a GRL XML Model,Yes,Requirements constructed from existing literature,Yes,"Syntactic Score, Semantic Completeness, Correctness, Completeness, Understandability","Experimental comparison, using ground truth model + manual analysis for verification","Functional Suitability, Usability",1,1,1,1,4,1,0,0,1,0,0,1,1,0,0,Prototype,XML output is sometimes formatted incorrectly; Weak generalization across different domains
20,Closing the Loop between User Stories and GUI Prototypes: An LLM-Based Assistant for Cross-Functional Integration in Software Development,"Kretzer, Felix and Kolthoff, Kristian and Bartelt, Christian and Ponzetto, Simone Paolo and Maedche, Alexander",2025,ACM DL,10.1145/3706598.3713932,https://doi.org/10.1145/3706598.3713932,,closing the loop between user stories and gui prototypes: an llm-based assistant for cross-functional integration in software development,New,FALSE,FALSE,Analyze now,Haowei,,Yes,F,1,1,1,,,"General fields (applicable to many fields, including travel booking apps, recipe apps, translation apps, etc.)",User story detection and generation,GPT-4o,No,temperature=0,Hybrid,Two-Stage Generation,Zero-shot + Chain-of-thought,Instruction+Descriptive,Yes,No,No,"From (Kolthoff et al., 2024) and Rico GUI datase",Yes,"User Story Completion, Component Correctness","Laboratory controlled experiment, expert interviews","Functional Suitability, Usability",1,1,1,1,4,0,0,0,1,1,1,0,0,1,0,Prototype,"Currently only functional user stories are supported, non-functional requirements are not covered"
21,Neural Language Models and Few Shot Learning for Systematic Requirements Processing in MDSE,"Bertram, Vincent and Bo\ss{}, Miriam and Kusmenko, Evgeny and Nachmann, Imke Helene and Rumpe, Bernhard and Trotta, Danilo and Wachtmeister, Louis",2022,ACM DL,10.1145/3567512.3567534,https://doi.org/10.1145/3567512.3567534,,neural language models and few shot learning for systematic requirements processing in mdse,New,FALSE,FALSE,Analyze now,Haowei,,Yes,F,1,1,1,,,Automotive systems,Logical expression,GPT-J-6B,No,No,Standalone,"Three levels of rules for If-Then, modal words, and expressions",Zero-Shot + Few-Shot,Instruction + Example Pairs,Yes,No,Yes,ADAS and ALS Natural Language Requirements Set,Yes,Customized six-level quality classification,"Few-Shot example number comparison experiment, manual annotation",Functional Suitability,1,1,1,1,4,0,0,0,0,1,0,1,1,1,0,Concept/Prototype,"Only supports single-sentence requirements, does not cover cross-sentence or document-level dependencies"
22,Test Case Generation for Requirements in Natural Language - An LLM Comparison Study,"Korraprolu, Brahma Reddy and Pinninti, Pavitra and Reddy, Y. Raghu",2025,ACM DL,10.1145/3717383.3717389,https://doi.org/10.1145/3717383.3717389,,test case generation for requirements in natural language - an llm comparison study,New,FALSE,FALSE,Analyze now,Haowei,,Yes,F,,,,1,,Embedded and control systems,"Test case generation, coverage indicator evaluation",Bard、ChatGPT-3.5、Claude、Gemini、ChatGPT-4o (Omni)、Llama3,No,No,Standalone,Zero-Shot Prompt,Zero-Shot,Instruction + Descriptive,Yes,No,Yes,25 hand-written natural language requirements (Cyclomatic Complexity 3–41),Yes,Decision Coverage、Condition Coverage、MCDC、Execution Coverage,Compare coverage and observe how LLM performance changes with demand complexity,Reliability,1,1,1,1,4,0,0,0,0,0,0,1,1,1,0,Prototype/Preliminary comparative study stage,"Correctness, completeness, and accuracy are not evaluated; only coverage is examined, not efficiency (generation time)."
23,A Human Behavior Exploration Approach Using LLMs for Cyber-Physical Systems,"Burgue\~{n}o, Lola and Keet, Maria and Kienzle, J\""{o}rg and Michael, Judith and Babur, \""{O}nder",2024,ACM DL,10.1145/3652620.3687806,https://doi.org/10.1145/3652620.3687806,,a human behavior exploration approach using llms for cyber-physical systems,New,FALSE,FALSE,Analyze now,Haowei,,Yes,F,1,,,,,Cyber-Physical Systems,Generation of human behavior types,GPT-4o,No,No,Standalone pipeline call,Multi-step Prompting,Zero-Shot,Instruction,Yes,SEED（Scenario Elicitation Enhanced by LLMs）,Yes,Smart Home Energy use case,Yes,"Usefulness, Outside-the-box, Duplicates, Overlap",Asynchronous offline experiment,"Functional Suitability, Usability",1,1,1,1,4,0,0,0,1,1,0,0,1,1,0,Prototype/Proof of Concept,"Only for static main scenes, does not support cross-scene dependencies, and has not yet automated the OWL → Prompt pipeline"
24,Quality assurance of generative dialog models in an evolving conversational agent used for Swedish language practice,"Borg, Markus and Bengtsson, Johan and \""{O}sterling, Harald and Hagelborn, Alexander and Gagner, Isabella and Tomaszewski, Piotr",2022,ACM DL,10.1145/3522664.3528592,https://doi.org/10.1145/3522664.3528592,,quality assurance of generative dialog models in an evolving conversational agent used for swedish language practice,New,FALSE,FALSE,Analyze now,Haowei,,Yes,F,1,,1,1,,Educational Technology,Eliciting and organizing quality requirements for GDMs,Facebook AI’s Blenderbot pre-trained models ,Yes – domain-adapted transfer learning on interview dialogs.,No,Standalone GDM hybrid rule-based filters,"Transfer Learning(domain adaptation), Symbolic AI Combination",No,No,Yes, Emely (the Swedish practice ConvAg),Yes,Proprietary interview dialog dataset,No,"Automated Test Metrics, Validation Metrics","Controlled Experiments, Expert Validation","Functional Suitability, Reliability, Performance Efficiency, Usability",1,1,1,1,4,1,1,0,0,0,1,0,1,0,0,Prototype/pilot stage,very limited retention → frustrated users.
25,A gray box approach for Large Language Model-guided Natural Language to Temporal Logic Automatic Translation,Shukla E.; Thibeault Q.; Pedrielli G.,2025,Scopus,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105007301637&doi=10.1145%2f3716550.3725163&partnerID=40&md5=935cc560097830406f8df957a8517ea8,Conference paper,a gray box approach for large language model-guided natural language to temporal logic automatic translation,New,FALSE,FALSE,Analyze now,Haowei,,Yes,F,,,1,,,Cyber-Physical Systems (CPS) Verification,NL-to-TL translation to generate an Intermediate Representation,“OpenAI Fine-Tuning API”,Yes-Use domain data for fine-tuning,No,Hybrid — Mixed with LLM via Structured Intermediate Representation (IR),"Intermediate Representation (IR) + LLM's ""Ashtack Method""",Few-shot,Instruction + Description,No,Gray-box NL-to-TL translation module,No,NL2TL ,Yes,"Syntax correctness, Logical consistency, Fidelity to specification",Controlled Experiment,"Functional Suitability, Reliability, Usability",1,1,0.5,1,3.5,0,0,0,1,0,0,0,0,0,0,Concept/Prototype,Complex language structure is still a bottleneck; Small sample set and limited experimental scale; Sensitive to tree depth and formula complexity
26,A ChatGPT-powered Prompt Engineering Framework for Generating Software Acceptance Criteria,Rawson J.; Reddivari S.,2025,Scopus,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105007440286&doi=10.1145%2f3696673.3723078&partnerID=40&md5=f1f41bfdcc6a129b05cd4af3d19cdb76,Conference paper,a chatgpt-powered prompt engineering framework for generating software acceptance criteria,New,FALSE,FALSE,Analyze now,Haowei,,Yes,F,,,1,1,,General-purpose software systems,Automatically generate Acceptance Criteria related requirements and code file recognition.,GPT-3、GPT-4,No,No,Hybrid,Embedded pipeline based on prompt,Few-shot + Role Assignment + Constraint-based prompting,"Instruction, Description, Iterative",Yes, Prompt Framework Pipeline,No,No,No,No,Planned: future human evaluation,"Functional Suitability, Reliability, Usability",1,1,0,1,3,0,0,0,1,1,0,1,1,1,0,Discussed Potential,Memory truncation and unable to perform outbound API calls (current GPT functionality limitation)
27,Visual analysis of LLM-based entity resolution from scientific papers,Wu S.; Yang Y.; Wu W.; Li R.; Zhang Y.; Wang G.; Tan H.; Liu Z.; Shi L.,2025,Scopus,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105007017763&doi=10.1016%2fj.visinf.2025.100236&partnerID=40&md5=995b2e85010d7d60fe7dedbd1a7a25a1,Article,visual analysis of llm-based entity resolution from scientific papers,New,FALSE,FALSE,Analyze now,Haowei,,Yes,F,,,1,,,Materials science,Entity extraction tasks and multimodal verification tasks,"GPT-4, GPT-3.5",No,temperature=0,RAG: Select representative paragraphs as examples through discriminant models,"Prompt Engineering; Few-shot sample driven
and Structured output control",Few-shot learning and structured prompting,"Instruction, JSON format",Yes,No,No,Self-built labeling set,No,"Precision, Recall, F1, Accuracy",Case Study + Quantitative Metrics,"Functional Suitability, Reliability, Usability",1,1,1,1,4,0,0,0,1,1,0,1,1,1,0,Prototype,Multi-RAG configuration cannot be compared at the same time; and the data volume is small
