ID,Authors,Title,Abstract,Year,Source title,Link,Haowei,Category: [LLM/GPT/BERT in RE]  [Review/Unrelated/Unclear],Jati,Category: [LLM/GPT/BERT in RE]  [Review/Unrelated/Unclear],Inclusion:[YES|NO],Haowei,Type of paper,Aspects of requirements,Type of RE activities,Modeling type,Model Type,Training Data,Fine-tuning,Prompt Engineering,Metrics,Role of LLM / GPT*,Challenge,Jati,Type of paper,Type of requirements,Type of RE activities,Modeling type,Application domain,Review Status,Final reviewer,Inclusion:[YES|NO],Type of paper,Type of requirements,Type of RE activities,Modeling type,Application domain
11,Cruciani F.; Moore S.; Nugent C.,Comparing general purpose pre-trained Word and Sentence embeddings for Requirements Classification,"The recent evolution of NLP has enriched the set of DL-based approaches to include a number of general-purpose Large Language Models (LLMs). Whereas new
  models have been proven useful for generic text handling, their applicability to domain-specific NLP tasks still remains doubtful, particularly because of the limited amount of 
dataset available in certain domains, such as Requirements Engineering. In this study, different pre-trained embeddings were tested in three requirements classification tasks, 
in search of a tradeoff between accuracy and computational complexity. The best F1-score results were obtained with BERT (90.36% and 84.23%), with DistilBERT identified as 
optimal tradeoff (90.28% and 82.61%). © 2023 Copyright for this paper by its authors. Use permitted under Creative Commons License Attribution 4.0 International (CC BY 4.0).",2023,CEUR Workshop Proceedings,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=&cad=rja&uact=8&ved=2ahUKEwiC78HznKOGAxV-hq8BHSbgCvcQFnoECBAQAQ&url=https%3A%2F%2Fceur-ws.org%2FVol-3378%2FNLP4RE-paper4.pdf&usg=AOvVaw0WWoc-YGp3PIE2k0NCPzrs&opi=89978449,Haowei,NLP with RE,,BERTinRE,NO,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Luitel D.; Hassani S.; Sabetzadeh M.,Improving requirements completeness: automated assistance through large language models,"Natural language (NL) is arguably the most prevalent medium for expressing systems and software requirements. Detecting incompleteness in NL requirements is a major challenge. One approach to identify incompleteness is to compare requirements with external sources. Given the rise of large language models (LLMs), an interesting question arises: Are LLMs useful external sources of knowledge for detecting potential incompleteness in NL requirements? This article explores 
 this question by utilizing BERT. Specifically, we employ BERT’s masked language model to generate contextualized predictions for filling masked slots in requirements. To simulate incompleteness, we withhold content from the requirements and assess BERT’s ability to predict terminology that is present in the withheld content but absent in the disclosed content. BERT can produce multiple predictions per mask. Our first contribution is determining the optimal number of predictions per mask, striking a balance between effectively identifying omissions in requirements and mitigating noise present in the predictions. Our second contribution involves designing a machine learning-based filter to post-process BERT’s predictions and further reduce noise. We conduct an empirical evaluation using 40 requirements specifications from the PURE dataset. Our findings indicate that: (1) BERT’s predictions effectively highlight terminology that is missing from requirements, (2) BERT outperforms simpler baselines in identifying relevant yet missing terminology, and (3) our filter reduces noise in the predictions, enhancing BERT’s effectiveness for completeness checking of requirements. © The Author(s), under exclusive licence to Springer-Verlag London Ltd., part of Springer Nature 2024.",2024,Requirements Engineering,https://link.springer.com/article/10.1007/s00766-024-00416-3,Haowei,BERTinRE,,BERTinRE,NO,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Borg M.,Requirements Engineering and Large Language Models: Insights From a Panel,"As a general-purpose technology, large language models promise to enhance various software engineering tasks. But how will they impact requirements engineering? This column offers a summary of an expert panel discussion from the 2023 International Requirements Engineering Conference in Hanover, Germany. © 1984-2012 IEEE.",2024,IEEE Software,https://ieeexplore.ieee.org/document/10452860,Haowei,LLMinRE Survey,,LLMinRE Survey (Panel discussion report),NO,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Wang W.; Xing B.,Research on the Integration and Application of Design Thinking and Large Language Models in the Innovation Design of Fintech Products,"This study explores the integration and application of Design Thinking and Large Language Models (LLMs) in fintech product innovation design from the perspective
  of requirements management. Design thinking is human-centered, focusing on discovering and solving problems, integrating innovative solutions, and enhancing product value. By understanding and generating natural language, LLMs provide ""on-demand"" intelligent services through information retrieval, content creation, and human-like dialogue, meeting individualized needs. Through literature review and analysis, this paper reveals that the combination of the two can promote the full intelligence and continuous improvement of the innovation design process, enhancing the R&D efficiency and user experience of fintech products. This research aims to provide innovation design methods for the fintech field and promote its continuous innovation and development. © 2024 The Authors.",2024,Frontiers in Artificial Intelligence and Applications,https://scholar.archive.org/work/kdc3scayarhznddyhvczpgoazm,Haowei,LLMinRE(?) Survey,,LLMinRE Survey,NO,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Mehraj A.; Zhang Z.; Systä K.,A Tertiary Study on AI for Requirements Engineering,"Context and Motivation: Rapid advancements in Artificial Intelligence (AI) have significantly influenced requirements engineering (RE) practices. Problem: While 
 many recent secondary studies have explored AI’s role in RE, a thorough understanding of the use of AI for RE (AI4RE) and its inherent challenges remains in its early stages.Principal Ideas: To fill this knowledge gap, we conducted a tertiary review on understanding how AI assists RE practices. Contribution: We analyzed 28 secondary studies from 2017 to September 2023 about using AI in RE tasks such as elicitation, classification, analysis, specification, management, and tracing. Our study reveals a trend of combining natural language process techniques with machine learning models like Latent Dirichlet Allocation (LDA) and Naive Bayes, and a surge in using large language models (LLMs) for RE. The study also identified challenges of AI4RE related to ambiguity, language, data, algorithm, and evaluation. The study gives topics for future research, particularly for researchers who want to start new research in this field. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2024.",2024,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),https://ieeexplore.ieee.org/document/10154972,Haowei,AI in RE-> Unrelated,,LLM in SE,NO,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Yang Y.; Zhang Q.; Li C.; Marta D.S.; Batool N.; Folkesson J.,Human-Centric Autonomous Systems With LLMs for User Command Reasoning,"The evolution of autonomous driving has made remark-able advancements in recent years, evolving into a tangible reality. However, a human-centric large-scale
  adoption hinges on meeting a variety of multifaceted requirements. To ensure that the autonomous system meets the user's intent, it is essential to accurately discern and interpret user commands, especially in complex or emergency situations. To this end, we propose to leverage the reasoning capabilities of Large Language Models (LLMs) to infer system requirements from in-cabin users' commands. Through a series of experiments that include different LLM models and prompt designs, we explore the few-shot mul-tivariate binary classification accuracy of system requirements from natural language textual commands. We confirm the general ability of LLMs to understand and reason about prompts but underline that their effectiveness is conditioned on the quality of both the LLM model and the design of appropriate sequential prompts. Code and models are public with the link ht tps: / / github. com/KTH-RPL/Dri veCmd_LLM. © 2024 IEEE.",2024,"Proceedings - 2024 IEEE Winter Conference on Applications of Computer Vision Workshops, WACVW 2024",https://ieeexplore.ieee.org/document/10495632,Haowei,LLMinRE,,Unclear (Is human-centered design here part of RE?),YES->NO,,Workshop,Reliability,elicitation,No specific,"GPT-3.5
GPT-4
CodeLlama-34b-Instruct
Llama-2-70b-Chat","From: UCU dataset
Size: 1099",No,YES few shot,"Command Level Accuracy
Question Level Accuracy","LLM can improve autonomous driving systems' understanding and 
response to user commands, particularly in enhancing the reliability of requirements.","The model may face challenges when processing commands containing 
ambiguous or complex information, which can affect reasoning accuracy.

The need for multi-step reasoning means that errors at each step can accumulate, 
affecting the overall accuracy and reliability of the final result.",,,,,,,,,,,,,,
17,Belzner L.; Gabor T.; Wirsing M.,"Large Language Model Assisted Software Engineering: Prospects, Challenges, and a Case Study","Large language models such as OpenAI’s GPT and Google’s Bard offer new opportunities for supporting software engineering processes. Large language model
  assisted software engineering promises to support developers in a conversational way with expert knowledge over the whole software lifecycle. Current applications range from requirements extraction, ambiguity resolution, code and test case generation, code review and translation to verification and repair of software vulnerabilities. In this paper we present our position on the potential benefits and challenges associated with the adoption of language models in software engineering. In particular, we focus on the possible applications of large language models for requirements engineering, system design, code and test generation, code quality reviews, and software process management. We also give a short review of the state-of-the-art of large language model support for software construction and illustrate our position by a case study on the object-oriented development of a simple “search and rescue” scenario. © 2024, The Author(s), under exclusive license to Springer Nature Switzerland AG.",2024,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),https://link.springer.com/chapter/10.1007/978-3-031-46002-9_23 ,Haowei,LLMinRE(Survey),,LLM in SE,NO,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Tikayat Ray A.; Cole B.F.; Pinon Fischer O.J.; White R.T.; Mavris D.N.,aeroBERT-Classifier: Classification of Aerospace Requirements Using BERT,"The system complexity that characterizes current systems warrants an integrated and comprehensive approach to system design and development. This need has 
 brought about a paradigm shift towards Model-Based Systems Engineering (MBSE) approaches to system design and a departure from traditional document-centric methods. While MBSE shows great promise, the ambiguities and inconsistencies present in Natural Language (NL) requirements hinder their conversion to models directly. The field of Natural Language Processing (NLP) has demonstrated great potential in facilitating the conversion of NL requirements into a semi-machine-readable format that enables their standardization and use in a model-based environment. A first step towards standardizing requirements consists of classifying them according to the type (design, functional, performance, etc.) they represent. To that end, a language model capable of classifying requirements needs to be fine-tuned on labeled aerospace requirements. This paper presents an open-source, annotated aerospace requirements corpus (the first of its kind) developed for the purpose of this effort that includes three types of requirements, namely design, functional, and performance requirements. This paper further describes the use of the aforementioned corpus to fine-tune BERT to obtain the aeroBERT-Classifier: a new language model for classifying aerospace requirements into design, functional, or performance requirements. Finally, this paper provides a comparison between aeroBERT-Classifier and other text classification models such as GPT-2, Bidirectional Long Short-Term Memory (Bi-LSTM), and bart-large-mnli. In particular, it shows the superior performance of aeroBERT-Classifier on classifying aerospace requirements over existing models, and this is despite the fact that the model was fine-tuned using a small labeled dataset. © 2023 by the authors.",2023,Aerospace,https://www.mdpi.com/2226-4310/10/3/279,Haowei,BERTinRE,,BERTinRE,NO,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Minina P.; Sadovykh A.; Ivanov V.,Detecting Security Requirements in GitHub Issues -Novel Dataset and SmallBERT-based model,"Cloud application security initiates with the analysis of security requirements in DevOps. This involves gathering, managing, and tracking requirements within
  integrated issue-tracking systems found in repositories like GitHub. DevOps offers advantages in cloud app development, such as accelerated deployment, improved collaboration, and enhanced reliability. In DevOps, while many security verification tools are automated, security requirements analysis often relies on manual procedures. User feedback plays a pivotal role in shaping cloud application requirements, and the industry actively seeks automation solutions to expedite development. Prior research has demonstrated the limited performance of conventional NLP models trained on established datasets, such as PROMISE, when employed in the context of GitHub Issues. Recent studies have explored the integration of deep learning, particularly leveraging modern large language models and transfer learning architectures, to address requirements engineering challenges. However, a significant issue persists - the transferability of these models. While these models excel when applied to datasets similar to those they were trained on, their performance often drastically falls when dealing with external domains.In our paper, we introduce an automated method for classifying requirements within issue trackers. This method utilizes a novel dataset comprising 12,000 security and non-security issues collected from open GitHub repositories. We employed a SmallBERT-based model for training and conducted a series of experiments. Our research reaffirms the challenge related to the transferability of NLP models. Simultaneously, our model yields highly promising results when applied to GitHub Issues, even in challenging scenarios involving issues from projects that were not part of the training dataset and structured requirements texts from the PROMISE dataset. In summary, our approach significantly contributes to enhancing DevOps practices within cloud applications by automating security requirements analysis. © 2023 IEEE.",2023,"Proceedings of the International Conference on Cloud Computing Technology and Science, CloudCom",https://ieeexplore.ieee.org/document/10475803,Haowei,BERTinRE,,BERTinRE,NO,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Blasek N.; Eichenmüller K.; Ernst B.; Götz N.; Nast B.; Sandkuhl K.,Large language models in requirements engineering for digital twins,"Can large language models (LLMs) be used for digital twin engineering (DTE)? Engineering digital twins (DTs) is a complex process consisting of several phases
  and involving different disciplines. We argue that an investigation of LLM use in DTE has to define what kinds of DTs are in focus and what DTE phases shall be supported. In our work, we concentrate on the early phases of DTE, with a particular focus on requirements engineering (RE), and we focus on supervisory and operational DTs. This paper investigates the quality of LLM output for defining requirements for DTs. The main contributions of our work are results from an experiment comparing requirements to a DT of an air conditioning facility of a domain expert and ChatGPT and conclusions for prompt engineering resulting from this experiment. © 2023 Copyright for this paper by its authors. Use permitted under Creative Commons License Attribution 4.0 International (CC BY 4.0).",2023,"Companion Proceedings of the 16th IFIP WG 8.1 Working Conference on the Practice of Enterprise Modeling and the 13th
Enterprise Design and Engineering Working Conference, November 28 – December 1, 2023, Vienna, Austria",https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=&cad=rja&uact=8&ved=2ahUKEwi41Lvy56eGAxVNh68BHQFTD9sQFnoECBEQAQ&url=https%3A%2F%2Fceur-ws.org%2FVol-3645%2Fdte1.pdf&usg=AOvVaw2DvzmxE61OmNFIN35xL2oD&opi=89978449,Haowei,GPTinRE,,GPTinRE,YES,,Conference,"Reliability（Faultlessness， Consistency）
Performance Efficiency（Time Behaviour， Resource Utilization）",elicitation,No specific,ChatGPT-4,"From：The researchers designed the questionnaires
Size: 17 questionaires",No,YES few shot,qualitative analysis,"ChatGPT can serve as a supplementary tool for domain experts, 
saving time and effort in the early stages of requirements engineering.",ChatGPT often lacks depth and specificity in certain technical details.,,,,,,,,,,,,,,
